"x","y","Coastal_Aerosol","Blue","Green","Red","Near_Infrared","Shortwave_Infrared_1","Shortwave_Infrared_2","image_year","agriculture","Cropland_and_Pasture","Orchards_Groves_Vineyards","Confined_Feeding","Other_Ag_Land","Herbaceous_Rangeland","Shrub_Brush_Rangeland","Mixed_Rangeland","ndvi","ndwi","evi","sr","ag_type"
-158.01927294715,21.3473398329953,0.789600014686584,0.823391675949097,0.982779145240784,1.06290829181671,1.34460830688477,1.25775837898254,1.13296663761139,2021,"Yes",1,0,0,0,0,0,0,0.117008545328409,-0.155465804077243,0.276542987438661,1.26502758256461,"Cropland_Pasture"
-158.030501888201,21.4192050557248,0.864131569862366,0.878036856651306,0.949594736099243,1.03631055355072,1.42734742164612,1.37032628059387,1.15673685073853,2017,"Yes",1,0,0,0,0,0,0,0.158722059649598,-0.200994661982034,0.474574437478422,1.37733560345939,"Cropland_Pasture"
-157.882279866321,21.5651812893943,1.02338576316833,1.04332137107849,1.15151429176331,1.08715713024139,2.20344281196594,1.34200716018677,1.0407999753952,2018,"Yes",0,0,0,0,0,0,1,0.339234699243247,-0.313544551443994,1.46765734435621,2.02679332239369,"Mixed_Range"
-158.057451346725,21.6437838767547,0.888999998569489,0.910107672214508,1.01445770263672,1.00609612464905,1.78152310848236,1.47816920280457,1.15365386009216,2017,"Yes",1,0,0,0,0,0,0,0.27816818545991,-0.274345733273693,0.973033648332455,1.77072852666419,"Cropland_Pasture"
-158.064188711356,21.3338651037335,0.820018529891968,0.881351828575134,1.03420746326447,1.04704439640045,1.65943706035614,1.33656299114227,1.13687777519226,2016,"Yes",1,0,0,0,0,0,0,0.226268930247752,-0.232112883347829,0.656632708428643,1.58487745702187,"Cropland_Pasture"
-157.853084619587,21.4888244902441,0.821721434593201,0.834857165813446,0.989071428775787,0.900849997997284,2.54765009880066,1.38499999046326,1.0401428937912,2024,"Yes",1,0,0,0,0,0,0,0.477540975664315,-0.44068458821888,1.52973195208957,2.82805140085968,"Cropland_Pasture"
-157.983340335785,21.4439087260381,0.849805533885956,0.862288892269135,0.956866681575775,0.914416670799255,1.9992778301239,1.38194441795349,1.0574277639389,2021,"Yes",1,0,0,0,0,0,0,0.37233181412153,-0.352625233449354,1.34357371452064,2.18639696100073,"Cropland_Pasture"
-158.185461274712,21.5090365841368,0.778150022029877,0.790066659450531,0.898999989032745,0.834033310413361,2.06536674499512,1.22591662406921,0.926083326339722,2020,"Yes",0,0,0,0,0,1,0,0.424685593933426,-0.393462368395142,1.43574527862978,2.47636001968733,"Shrub_Range"
-158.017027158939,21.3989929618322,0.864750027656555,0.890061140060425,0.990366637706757,0.992711126804352,1.85768330097198,1.57114994525909,1.19599997997284,2023,"Yes",0,0,0,0,0,0,1,0.30345701133103,-0.304530005421038,1.01119430399755,1.87132313803319,"Mixed_Range"
-158.091138169879,21.3248819508923,1.09710001945496,1.19925785064697,1.38806319236755,1.47468423843384,1.77885794639587,1.67905783653259,1.39982104301453,2024,"Yes",1,0,0,0,0,0,0,0.0934900150919513,-0.123398953401446,0.288860683509643,1.20626361904096,"Cropland_Pasture"
