"Variable","MeanDecreaseAccuracy","MeanDecreaseGini"
"Near_Infrared",61.1744053490829,11037.2494679059
"Shortwave_Infrared_1",34.8319831885564,8767.69954694726
"Shortwave_Infrared_2",32.4278028813552,5353.90470509973
"Red",34.7667118950578,3520.14251577629
"Green",45.7324362264595,2680.58488990003
"Coastal_Aerosol",114.360004347243,1848.02593101785
"Blue",56.7737055903239,1791.93270141127
